source,target
1061925196330762241,998378092157550592
1061925196330762241,45162945
1061925196330762241,146792294
1061925196330762241,495342509
1061925196330762241,92382222
1061925196330762241,14754639
1061925196330762241,2896251154
1061925196330762241,216544114
1061925196330762241,20095894
1061925196330762241,561621177
1061925196330762241,2596578522
1061925196330762241,164414460
998378092157550592,1061925196330762241
998378092157550592,45162945
998378092157550592,495342509
998378092157550592,216544114
998378092157550592,2596578522
998378092157550592,164414460
45162945,998378092157550592
45162945,1061925196330762241
45162945,277421250
45162945,3001017796
45162945,550729991
45162945,495342509
45162945,2246014224
45162945,2896251154
45162945,216544114
45162945,409107187
45162945,20095894
45162945,2189138839
45162945,2596578522
45162945,164414460
146792294,931399450655727616
146792294,561621177
495342509,998378092157550592
495342509,1061925196330762241
495342509,45162945
495342509,2246014224
495342509,2896251154
495342509,216544114
495342509,20095894
495342509,2596578522
495342509,164414460
92382222,561621177
92382222,2896251154
92382222,409107187
92382222,415293130
2896251154,998378092157550592
2896251154,1061925196330762241
2896251154,45162945
2896251154,495342509
2896251154,92382222
2896251154,14754639
2896251154,20095894
2896251154,164414460
20095894,1061925196330762241
20095894,45162945
20095894,4393026435
20095894,277421250
20095894,415293130
20095894,495342509
20095894,2246014224
20095894,2896251154
20095894,409107187
561621177,931399450655727616
561621177,146792294
561621177,415293130
561621177,92382222
561621177,409107187
561621177,2189138839
2596578522,998378092157550592
2596578522,45162945
2596578522,495342509
2596578522,216544114
2596578522,164414460
164414460,998378092157550592
164414460,1061925196330762241
164414460,45162945
164414460,495342509
164414460,14754639
164414460,2896251154
164414460,216544114
164414460,2596578522
931399450655727616,3001017796
931399450655727616,146792294
931399450655727616,415293130
931399450655727616,2246014224
931399450655727616,561621177
3001017796,931399450655727616
3001017796,45162945
415293130,931399450655727616
415293130,317194370
415293130,277421250
415293130,146792294
415293130,92382222
415293130,14754639
415293130,2246014224
415293130,105912240
415293130,216544114
415293130,20095894
415293130,2189138839
415293130,561621177
2246014224,931399450655727616
2246014224,277421250
2246014224,415293130
2246014224,495342509
2246014224,20095894
2246014224,2189138839
2246014224,561621177
4393026435,2596578522
4393026435,20095894
277421250,415293130
277421250,2246014224
277421250,20095894
277421250,2189138839
277421250,561621177
2189138839,45162945
2189138839,277421250
409107187,561621177
409107187,20095894
409107187,3282646831
550729991,45162945
317194370,561621177
317194370,277421250
317194370,415293130
317194370,92382222
